"typeResult","idGame","slugTeam","idTeam","pctEFGOpponent","pctTOVOpponent","pctOREBOpponent","teamName","cityTeam","minExact","rateFTA","rateFTAOpponent"
"team",22200288,"LAL",1610612747,0.59,0.094,0.327,"Lakers","Los Angeles",240,0.457,0.19
"team",22200290,"POR",1610612757,0.622,0.089,0.132,"Trail Blazers","Portland",240,0.278,0.231
"team",22200290,"BKN",1610612751,0.519,0.143,0.292,"Nets","Brooklyn",240,0.231,0.278
"team",22200293,"MIA",1610612748,0.455,0.12,0.204,"Heat","Miami",240,0.232,0.216
"team",22200293,"ATL",1610612737,0.543,0.142,0.159,"Hawks","Atlanta",240,0.216,0.232
"team",22200292,"LAC",1610612746,0.431,0.12,0.203,"Clippers","LA",240,0.34,0.245
"team",22200292,"IND",1610612754,0.479,0.167,0.389,"Pacers","Indiana",240,0.245,0.34
"team",22200295,"DET",1610612765,0.481,0.147,0.319,"Pistons","Detroit",240,0.329,0.429
"team",22200295,"CLE",1610612739,0.506,0.161,0.306,"Cavaliers","Cleveland",240,0.429,0.329
"team",22200297,"PHI",1610612755,0.532,0.162,0.191,"76ers","Philadelphia",240,0.351,0.316
"team",22200297,"ORL",1610612753,0.721,0.162,0.241,"Magic","Orlando",240,0.316,0.351
"team",22200298,"MIL",1610612749,0.619,0.133,0.209,"Bucks","Milwaukee",240,0.174,0.313
"team",22200298,"DAL",1610612742,0.657,0.142,0.275,"Mavericks","Dallas",240,0.313,0.174
"team",22200291,"MIN",1610612750,0.69,0.154,0.237,"Timberwolves","Minnesota",240,0.33,0.23
"team",22200291,"GSW",1610612744,0.523,0.129,0.192,"Warriors","Golden State",240,0.23,0.33
"team",22200296,"NYK",1610612752,0.547,0.106,0.396,"Knicks","New York",240,0.345,0.326
"team",22200296,"MEM",1610612763,0.563,0.083,0.255,"Grizzlies","Memphis",240,0.326,0.345
"team",22200294,"WAS",1610612764,0.65,0.147,0.361,"Wizards","Washington",240,0.402,0.325
"team",22200294,"BOS",1610612738,0.579,0.042,0.22,"Celtics","Boston",240,0.325,0.402
"team",22200307,"SAC",1610612758,0.585,0.16,0.311,"Kings","Sacramento",240,0.205,0.149
"team",22200307,"PHX",1610612756,0.574,0.154,0.205,"Suns","Phoenix",240,0.149,0.205
"team",22200306,"UTA",1610612762,0.495,0.081,0.308,"Jazz","Utah",240,0.176,0.269
"team",22200306,"CHI",1610612741,0.594,0.145,0.213,"Bulls","Chicago",240,0.269,0.176
"team",22200308,"LAL",1610612747,0.49,0.091,0.333,"Lakers","Los Angeles",240,0.333,0.152
"team",22200308,"IND",1610612754,0.489,0.136,0.321,"Pacers","Indiana",240,0.152,0.333
"team",22200305,"HOU",1610612745,0.636,0.143,0.341,"Rockets","Houston",240,0.294,0.227
"team",22200305,"DEN",1610612743,0.553,0.168,0.34,"Nuggets","Denver",240,0.227,0.294
"team",22200304,"OKC",1610612760,0.5,0.212,0.347,"Thunder","Oklahoma City",240,0.25,0.23
"team",22200304,"NOP",1610612740,0.435,0.184,0.362,"Pelicans","New Orleans",240,0.23,0.25
"team",22200302,"ORL",1610612753,0.599,0.185,0.256,"Magic","Orlando",240,0.275,0.173
"team",22200302,"BKN",1610612751,0.556,0.182,0.255,"Nets","Brooklyn",240,0.173,0.275
"team",22200303,"TOR",1610612761,0.417,0.106,0.276,"Raptors","Toronto",240,0.202,0.178
"team",22200303,"CLE",1610612739,0.512,0.124,0.255,"Cavaliers","Cleveland",240,0.178,0.202
"team",22200301,"CHA",1610612766,0.72,0.155,0.342,"Hornets","Charlotte",240,0.174,0.075
"team",22200301,"BOS",1610612738,0.552,0.201,0.326,"Celtics","Boston",240,0.075,0.174
"team",22200299,"PHI",1610612755,0.581,0.209,0.282,"76ers","Philadelphia",240,0.209,0.297
"team",22200299,"ATL",1610612737,0.512,0.125,0.234,"Hawks","Atlanta",240,0.297,0.209
"team",22200300,"WAS",1610612764,0.542,0.171,0.391,"Wizards","Washington",240,0.297,0.5
