"typeResult","idGame","slugTeam","idTeam","pctAST","pctOREB","pctDREB","pctTREB","pctTOVE","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","teamName","cityTeam","minExact","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","pacePer40PACE_PER40","possessions","ratioPIE"
"team",22200330,"CLE",1610612739,0.537,0.233,0.698,0.465,13.547,14.1,0.583,0.608,1,0.198,"Cavaliers","Cleveland",240,111.5,116.3,102.9,103.2,8.6,13.1,1.69,17.9,94.62,92.5,77.08,92,0.548
"team",22200335,"UTA",1610612762,0.63,0.293,0.772,0.571,22.169,22.6,0.645,0.7,1,0.196,"Jazz","Utah",240,118.5,120.9,102.1,102.6,16.4,18.3,1.12,18.8,116.9,115.5,96.25,115,0.615
"team",22200335,"IND",1610612754,0.625,0.228,0.707,0.429,16.306,16.4,0.5,0.559,1,0.198,"Pacers","Indiana",240,102.1,102.6,118.5,120.9,-16.4,-18.3,1.32,16.6,116.9,115.5,96.25,116,0.385
"team",22200327,"DEN",1610612743,0.689,0.267,0.675,0.459,16.373,16.7,0.6,0.601,1,0.199,"Nuggets","Denver",240,111.5,113.5,124.3,121.9,-12.7,-8.3,1.94,22.5,95.94,96,80,96,0.468
"team",22200327,"ATL",1610612737,0.49,0.325,0.733,0.541,12.744,12.5,0.614,0.621,1,0.202,"Hawks","Atlanta",240,124.3,121.9,111.5,113.5,12.7,8.3,2,18.4,95.94,96,80,96,0.532
"team",22200328,"MIA",1610612748,0.396,0.263,0.804,0.519,14.923,15.2,0.53,0.551,1,0.195,"Heat","Miami",265,105.3,107.1,103.3,104.5,2.1,2.6,1.12,13.1,102.45,100.98,84.15,112,0.487
"team",22200328,"BOS",1610612738,0.65,0.196,0.737,0.481,17.806,18,0.546,0.584,1,0.199,"Celtics","Boston",265,103.3,104.5,105.3,107.1,-2.1,-2.6,1.3,17.9,102.45,100.98,84.15,111,0.513
"team",22200331,"MIL",1610612749,0.58,0.255,0.702,0.479,9.94,10.1,0.622,0.641,1,0.197,"Bucks","Milwaukee",240,128.2,130.3,134.9,133,-6.7,-2.7,2.9,20.8,99.58,99.5,82.92,99,0.469
"team",22200331,"LAL",1610612747,0.615,0.298,0.745,0.521,4.058,4,0.599,0.624,1,0.201,"Lakers","Los Angeles",240,134.9,133,128.2,130.3,6.7,2.7,8,22.4,99.58,99.5,82.92,100,0.531
"team",22200336,"GSW",1610612744,0.762,0.22,0.855,0.552,18.162,18.3,0.598,0.613,1,0.198,"Warriors","Golden State",240,108.1,109.2,101.3,102.8,6.7,6.4,1.6,21.5,109.84,108.5,90.42,109,0.551
"team",22200336,"CHI",1610612741,0.651,0.145,0.78,0.448,10.953,11.1,0.511,0.536,1,0.199,"Bulls","Chicago",240,101.3,102.8,108.1,109.2,-6.7,-6.4,2.33,19.5,109.84,108.5,90.42,108,0.449
"team",22200337,"NYK",1610612752,0.514,0.191,0.712,0.481,19.547,19.8,0.519,0.56,1,0.199,"Knicks","New York",240,97.7,99,117.3,117.5,-19.6,-18.5,0.9,14.1,102.74,102,85,101,0.422
"team",22200337,"DAL",1610612742,0.628,0.288,0.809,0.519,10.663,10.7,0.55,0.57,1,0.198,"Mavericks","Dallas",240,117.3,117.5,97.7,99,19.6,18.5,2.45,18.7,102.74,102,85,103,0.578
"team",22200338,"SAC",1610612758,0.674,0.204,0.629,0.441,8.721,8.9,0.579,0.602,1,0.196,"Kings","Sacramento",240,119.2,121.8,91,95,28.1,26.7,3.44,21.8,104.32,101,84.17,101,0.701
"team",22200338,"LAC",1610612746,0.455,0.371,0.796,0.559,17.071,17.8,0.403,0.46,1,0.198,"Clippers","LA",240,91,95,119.2,121.8,-28.1,-26.7,0.83,10.9,104.32,101,84.17,101,0.299
"team",22200340,"TOR",1610612761,0.66,0.35,0.756,0.556,17,17.3,0.613,0.637,1,0.196,"Raptors","Toronto",240,121,123.5,107.5,109.1,13.5,14.4,1.82,21.7,100.22,98.5,82.08,98,0.577
"team",22200340,"ORL",1610612753,0.605,0.244,0.65,0.444,15.93,16.2,0.558,0.604,1,0.199,"Magic","Orlando",240,107.5,109.1,121,123.5,-13.5,-14.4,1.44,17.9,100.22,98.5,82.08,99,0.423
"team",22200342,"HOU",1610612745,0.425,0.346,0.837,0.568,14.881,15.3,0.456,0.506,1,0.195,"Rockets","Houston",240,100.2,103.1,123.2,125,-23,-21.9,1.13,12.9,99.1,97,80.83,98,0.419
"team",22200342,"GSW",1610612744,0.756,0.163,0.654,0.432,14.374,14.6,0.676,0.671,1,0.197,"Warriors","Golden State",240,123.2,125,100.2,103.1,23,21.9,2.43,24.7,99.1,97,80.83,96,0.581
"team",22200341,"OKC",1610612760,0.542,0.327,0.644,0.479,18.041,18.6,0.575,0.623,1,0.196,"Thunder","Oklahoma City",240,116,119.5,113.1,112.3,2.9,7.2,1.24,16.7,114.8,113.5,94.58,113,0.509
"team",22200341,"MIN",1610612750,0.532,0.356,0.673,0.521,20.318,20.2,0.584,0.626,1,0.2,"Timberwolves","Minnesota",240,113.1,112.3,116,119.5,-2.9,-7.2,1.09,16.6,114.8,113.5,94.58,114,0.491
"team",22200343,"UTA",1610612762,0.526,0.224,0.735,0.48,13.089,13.1,0.53,0.576,1,0.199,"Jazz","Utah",240,111.8,112.1,116.4,117.2,-4.7,-5.1,1.54,15.5,99.48,99,82.5,99,0.477
"team",22200343,"POR",1610612757,0.463,0.265,0.776,0.52,13.047,13.1,0.541,0.588,1,0.199,"Trail Blazers","Portland",240,116.4,117.2,111.8,112.1,4.7,5.1,1.46,14.5,99.48,99,82.5,99,0.523
"team",22200339,"MIL",1610612749,0.615,0.217,0.796,0.53,20.881,21,0.542,0.575,1,0.198,"Bucks","Milwaukee",240,99.7,100,92.8,91.4,6.9,8.6,1.09,17.5,104.4,105,87.5,105,0.565
"team",22200339,"CHA",1610612766,0.441,0.204,0.783,0.47,13.534,13.3,0.42,0.488,1,0.201,"Hornets","Charlotte",240,92.8,91.4,99.7,100,-6.9,-8.6,1.07,11.8,104.4,105,87.5,105,0.435
"team",22200346,"BOS",1610612738,0.514,0.255,0.759,0.525,17.206,17.3,0.525,0.573,1,0.195,"Celtics","Boston",240,104.3,105.1,94.2,95.8,10.1,9.3,1.06,14.4,98.24,97,80.83,98,0.587
"team",22200346,"BKN",1610612751,0.5,0.241,0.745,0.475,15.356,15.6,0.458,0.491,1,0.199,"Nets","Brooklyn",240,94.2,95.8,104.3,105.1,-10.1,-9.3,1.13,13.5,98.24,97,80.83,96,0.413
"team",22200348,"NYK",1610612752,0.486,0.358,0.75,0.56,20.54,21.2,0.436,0.483,1,0.198,"Knicks","New York",240,90,92.9,78.8,81.8,11.2,11.1,0.81,12.8,102.52,99,82.5,99,0.588
"team",22200348,"CLE",1610612739,0.586,0.25,0.642,0.44,18.482,19.2,0.398,0.441,1,0.195,"Cavaliers","Cleveland",240,78.8,81.8,90,92.9,-11.2,-11.1,0.89,13.3,102.52,99,82.5,99,0.412
"team",22200347,"MEM",1610612763,0.651,0.314,0.74,0.525,13.114,13.7,0.549,0.582,1,0.195,"Grizzlies","Memphis",240,114.3,119.6,107.5,108.7,6.8,10.9,2,19.1,105.48,102.5,85.42,102,0.542
