"typeResult","idGame","slugTeam","idTeam","pctEFGOpponent","pctTOVOpponent","pctOREBOpponent","teamName","cityTeam","minExact","rateFTA","rateFTAOpponent"
"team",22201065,"ATL",1610612737,0.617,0.116,0.326,"Hawks","Atlanta",240,0.198,0.17
"team",22201063,"DEN",1610612743,0.537,0.13,0.222,"Nuggets","Denver",240,0.163,0.195
"team",22201063,"BKN",1610612751,0.6,0.176,0.333,"Nets","Brooklyn",240,0.195,0.163
"team",22201068,"TOR",1610612761,0.622,0.125,0.2,"Raptors","Toronto",240,0.121,0.256
"team",22201068,"MIL",1610612749,0.515,0.068,0.286,"Bucks","Milwaukee",240,0.256,0.121
"team",22201070,"ORL",1610612753,0.545,0.153,0.222,"Magic","Orlando",240,0.167,0.41
"team",22201070,"LAL",1610612747,0.451,0.077,0.286,"Lakers","Los Angeles",240,0.41,0.167
"team",22201069,"POR",1610612757,0.521,0.104,0.396,"Trail Blazers","Portland",240,0.293,0.245
"team",22201069,"LAC",1610612746,0.488,0.155,0.283,"Clippers","LA",240,0.245,0.293
"team",22201067,"NOP",1610612740,0.467,0.133,0.348,"Pelicans","New Orleans",240,0.282,0.5
"team",22201067,"HOU",1610612745,0.571,0.105,0.326,"Rockets","Houston",240,0.5,0.282
"team",22201066,"MIA",1610612748,0.524,0.139,0.234,"Heat","Miami",240,0.316,0.207
"team",22201066,"DET",1610612765,0.563,0.109,0.256,"Pistons","Detroit",240,0.207,0.316
"team",22201075,"MEM",1610612763,0.53,0.124,0.267,"Grizzlies","Memphis",240,0.292,0.238
"team",22201075,"DAL",1610612742,0.517,0.116,0.358,"Mavericks","Dallas",240,0.238,0.292
"team",22201076,"UTA",1610612762,0.521,0.057,0.23,"Jazz","Utah",240,0.261,0.258
"team",22201076,"SAC",1610612758,0.614,0.115,0.159,"Kings","Sacramento",240,0.258,0.261
"team",22201072,"PHI",1610612755,0.452,0.097,0.19,"76ers","Philadelphia",290,0.244,0.309
"team",22201072,"CHI",1610612741,0.478,0.188,0.245,"Bulls","Chicago",290,0.309,0.244
"team",22201071,"IND",1610612754,0.511,0.105,0.283,"Pacers","Indiana",240,0.415,0.356
"team",22201071,"CHA",1610612766,0.506,0.208,0.396,"Hornets","Charlotte",240,0.356,0.415
"team",22201073,"NYK",1610612752,0.699,0.143,0.25,"Knicks","New York",240,0.329,0.386
"team",22201073,"MIN",1610612750,0.647,0.158,0.282,"Timberwolves","Minnesota",240,0.386,0.329
"team",22201074,"HOU",1610612745,0.597,0.199,0.362,"Rockets","Houston",240,0.258,0.216
"team",22201074,"GSW",1610612744,0.473,0.166,0.4,"Warriors","Golden State",240,0.216,0.258
"team",22201079,"CLE",1610612739,0.495,0.17,0.491,"Cavaliers","Cleveland",240,0.253,0.25
"team",22201079,"BKN",1610612751,0.59,0.143,0.268,"Nets","Brooklyn",240,0.25,0.253
"team",22201078,"DET",1610612765,0.537,0.109,0.464,"Pistons","Detroit",240,0.264,0.379
